participant,condition,investment,investment_return,multiplier,return,RT
659,fair,4,12,1.3,5.2,1.9455209000000195
659,fair,2,6,1.4000000000000001,2.8000000000000003,2.712521400000014
659,fair,5,15,1.3,6.5,1.6814008999999714
659,fair,4,12,1.4000000000000001,5.6000000000000005,3.2610571000000164
659,fair,5,15,1.3,6.5,1.790295100000094
659,unfair,5,15,0.3,1.5,1.689764999999852
659,unfair,3,9,0.4,1.2000000000000002,1.2677092999999786
659,unfair,8,24,0.30000000000000004,2.4000000000000004,2.3987468999998782
659,unfair,5,15,0.4,2.0,1.827559299999848
659,unfair,5,15,0.4,2.0,1.404591800000162
659,fair,4,12,1.4000000000000001,5.6000000000000005,1.070685899999944
659,fair,4,12,1.4000000000000001,5.6000000000000005,1.1030765000000429
659,fair,4,12,1.4000000000000001,5.6000000000000005,1.0109540000000834
659,fair,4,12,1.4000000000000001,5.6000000000000005,4.861166400000002
659,fair,5,15,1.3,6.5,1.231183099999953
659,unfair,5,15,0.3,1.5,10,1.2192704999999933
659,unfair,5,15,0.3,1.5,10,6.512771199999861
659,unfair,6,18,0.19999999999999998,1.2,10,1.3925787000000582
659,unfair,4,12,0.3,1.2,10,0.8878016999999545
659,unfair,4,12,0.3,1.2,10,0.8642714000000069
