participant,condition,investment,investment_return,multiplier,return,budget
665,fair,5,15,1.3,6.5,11.5
665,fair,3,9,1.4000000000000001,4.2,12.7
665,fair,6,18,1.2,7.199999999999999,13.899999999999999
665,fair,3,9,1.4000000000000001,4.2,15.099999999999998
665,fair,3,9,1.3,3.9000000000000004,15.999999999999998
665,unfair,1,3,0.4,0.4,15.399999999999999
665,unfair,5,15,0.19999999999999998,0.9999999999999999,11.399999999999999
665,unfair,4,12,0.4,1.6,8.999999999999998
665,unfair,3,9,0.4,1.2000000000000002,7.199999999999998
665,unfair,4,12,0.19999999999999998,0.7999999999999999,3.9999999999999982
665,fair,3,9,1.4000000000000001,4.2,5.199999999999998
665,fair,5,15,1.2,6.0,6.199999999999998
665,fair,4,12,1.4000000000000001,5.6000000000000005,7.799999999999999
665,fair,5,15,1.2,6.0,8.799999999999999
665,fair,2,6,1.4000000000000001,2.8000000000000003,9.6
665,unfair,3,9,0.19999999999999998,0.6,7.199999999999999
665,unfair,6,18,0.19999999999999998,1.2,2.3999999999999995
665,unfair,2,6,0.4,0.8,1.1999999999999995
665,unfair,1,3,0.4,0.4,0.5999999999999995
665,unfair,0,0,0.4,0.0,0.5999999999999995
