participant,esm,question,answer,previous_condition
655,before,zaniepokojony/a,3,none
655,before,spokojny/a,3,none
655,before,akceptowany/a,3,none
655,before,zestresowany/a,3,none
655,before,odprężony/a?,3,none
655,before,związany/a z innymi?,3,none
655,before,radosny/a?,3,none
655,before,wykluczony/a,3,none
655,before,samotny/a,3,none
