participant,condition,investment,investment_return,multiplier,return,RT,delay,jitter_iti,jitter_feedback_before,jitter_feedback_after,block_total
656,fair,10,30,1.3,13.0,9.281251300002623,9.303793218004135,0.1,0.1,-0.04544292442749076,13.0
656,fair,3,9,1.4000000000000001,4.2,1.677458400001342,7.545528581163797,0.1,0.1,0.025760689919067964,17.2
656,fair,5,15,1.3,6.5,1.5719869999993534,6.234629036735603,0.1,0.1,-0.082024258965047,23.7
656,fair,6,18,1.2,7.199999999999999,1.456833899999765,6.313713890137802,0.1,0.1,0.05087202679136424,30.9
656,fair,3,9,1.3,3.9000000000000004,3.393586400001368,9.784890728688719,0.1,0.1,0.07041490358711186,34.8
