participant,condition,investment,investment_return,multiplier,return,RT,delay,jitter_iti,jitter_feedback_before,jitter_feedback_after,block_total
655,fair,5,15,1.3,6.5,1.6766269999934593,7.583584081933791,0.1,0.1,-0.029540762301982618,6.5
655,fair,4,12,1.4000000000000001,5.6000000000000005,2.2887829999963287,6.451398472685401,0.1,0.1,0.01378349221168447,12.100000000000001
