participant,condition,investment,investment_return,multiplier,return,RT,delay,jitter_iti,jitter_feedback_before,jitter_feedback_after,block_total
654,fair,4,12,1.3,5.2,2.424828900009743,8.10967519437001,0.1,0.1,0.04176776987177955,5.2
654,fair,4,12,1.3,5.2,7.094444999995176,6.556259622740959,0.1,0.1,0.06152630571750331,10.4
654,fair,4,12,1.3,5.2,2.557660999998916,8.500449460114206,0.1,0.1,-0.09288198323808611,15.600000000000001
654,fair,4,12,1.3,5.2,1.7870923000009498,7.793180080658277,0.1,0.1,0.08970851276611067,20.8
654,fair,7,21,1.2,8.4,1.1387553000095068,6.060989553225582,0.1,0.1,-0.0869060046876859,29.200000000000003
654,unfair,3,9,0.4,1.2000000000000002,1.0426932999980636,9.340495281446454,0.1,0.1,-0.05448106116388854,1.2000000000000002
654,unfair,6,18,0.30000000000000004,1.8000000000000003,1.42916649999097,7.948190005804585,0.1,0.1,-0.0691938958217465,3.0000000000000004
654,unfair,4,12,0.4,1.6,1.2010962000058498,7.426185857600371,0.1,0.1,0.09658680472584491,4.6000000000000005
654,unfair,4,12,0.4,1.6,1.0751144000096247,9.088584780842124,0.1,0.1,-0.0849545258604094,6.200000000000001
654,unfair,7,21,0.30000000000000004,2.1000000000000005,2.586249600004521,6.419722714765578,0.1,0.1,0.04960523563096614,8.3
654,fair,9,27,1.2,10.799999999999999,1.0882935999979964,8.281252849297015,0.1,0.1,-0.04533304558846427,10.799999999999999
654,fair,5,15,1.3,6.5,1.0904792999936035,6.625274885427314,0.1,0.1,-0.04511331207638334,17.299999999999997
654,fair,7,21,1.2,8.4,1.2223308000102406,6.5710455744426755,0.1,0.1,0.0214582633893748,25.699999999999996
654,fair,5,15,1.3,6.5,1.2748554999998305,9.223426551454697,0.1,0.1,-0.07133358006340794,32.199999999999996
654,fair,6,18,1.2,7.199999999999999,1.1619053000031272,7.507537012335491,0.1,0.1,0.04484630357592115,39.39999999999999
654,unfair,5,15,0.4,2.0,10,1.7286843000038061,6.085777060166221,0.1,0.1,0.07099492483263253,2.0
654,unfair,8,24,0.30000000000000004,2.4000000000000004,10,1.3547122000018135,8.419084529227995,0.1,0.1,-0.0856977520636854,4.4
654,unfair,5,15,0.4,2.0,10,0.6809435999894049,7.384775393437756,0.1,0.1,-0.06787154087906117,6.4
654,unfair,2,6,0.5,1.0,10,1.117560600003344,9.308574068376368,0.1,0.1,-0.0880418705766508,7.4
654,unfair,7,21,0.4,2.8000000000000003,10,2.44881690001057,9.117947111942815,0.1,0.1,-0.07450742093509713,10.200000000000001
